No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
1,"यौगिक भाववाचक संज्ञाओं के निर्माण की दृष्टि से जो विकल्प असंगत है, उसे चिह्नित कीजिए -","सामीप्य, बाहुल्य, नैकट्य","थकावट, फैलाव, खेल","ऊँचा, उन्नत, प्रतिष्ठित","आवश्यकता, चातुर्य, आलस्य",3,विकल्प (3) के शब्द विशेषण हैं; उनसे इस रूप में यौगिक भाववाचक संज्ञा-निर्माण नहीं दिखाया गया है।
2,भाववाचक संज्ञा का प्रयोग जातिवाचक संज्ञा की तरह किस विकल्प में हुआ है -,गरीबों की प्रार्थनाएँ व्यर्थ नहीं जाती हैं।,मुझे अपना बचपन याद आता है।,राम के बुढ़ापे ने उसे लाचार बना दिया।,खजूर के पेड़ की ऊँचाई बहुत अधिक है।,1,‘प्रार्थना’ भाववाचक संज्ञा है; ‘प्रार्थनाएँ’ बहुवचन में प्रयुक्त होने से जातिवाचक संज्ञा की तरह है।
3,निम्नलिखित में से सभी भाववाचक संज्ञाओं का निर्माण जातिवाचक संज्ञा से नहीं हुआ है। कूट के आधार पर सही उत्तर चुनिए।,"केवल 2, 3","केवल 3, 4","केवल 4, 5","केवल 1, 3, 4",2,कूट में विकल्प (2) सही है। ममत्व और आत्मीयता जैसे शब्द सर्वनाम से तथा अम्लता विशेषण से बनी है; इसलिए सभी शब्द जातिवाचक से नहीं बने।
4,कौन-सा विवरण सही नहीं है?,व्यक्तिवाचक संज्ञाएँ बहुधा सार्थक होती हैं।,व्यक्तिवाचक संज्ञाएँ अनंत होती हैं; परन्तु जातिवाचक संज्ञाएँ एक ही होती हैं।,व्यक्तिवाचक संज्ञाएँ सामान्यतः अनित्य होती हैं; परन्तु जातिवाचक संज्ञाएँ नित्य होती हैं।,व्यक्तिवाचक संज्ञाओं को बदला जा सकता है; परन्तु जातिवाचक संज्ञाओं को नहीं।,1,स्रोत में इस कथन को असंगत बताया गया है: जातिवाचक संज्ञाएँ हमेशा सार्थक होने का नियम नहीं माना गया है।
5,संज्ञा के संबंध में असंगत विवरण है -,व्यक्तिवाचक संज्ञा एक प्राणी अथवा पदार्थ को छोड़कर दूसरे व्यक्ति का नाम नहीं हो सकती।,द्रव्यवाचक एवं समूहवाचक संज्ञाएँ जातिवाचक संज्ञा के ही उपभेद हैं।,भाववाचक संज्ञाओं को किसी संज्ञादि के साथ सीधे तौर पर जोड़ा जा सकता है।,द्रव्यवाचक संज्ञाएँ ढेर के रूप में मापी जाती हैं।,3,भाववाचक संज्ञापदों को सीधे-सीधे किसी वस्तु (विशेष्य) के साथ नहीं जोड़ा जा सकता।
6,किस विकल्प के सभी शब्द विशेषण से बनी भाववाचक संज्ञाएँ हैं?,"धैर्य, शाबाशी, पशुता","नौकरी, डकैती, धार्मिकता","किसानी, नैतिकता, लघुता","सौंदर्य, प्राथमिकता, सरलता",4,"सुन्दर से सौन्दर्य, प्रथम से प्राथमिकता और सरल से सरलता भाववाचक संज्ञाएँ बनती हैं; तीनों मूल शब्द विशेषण हैं।"
7,निम्नलिखित किस संवर्ग में एक शब्द जातिवाचक संज्ञा नहीं है?,"पर्वत, नदी, ग्रह, देश","स्त्री, पुस्तक, हाथी, गाय","मिट्टी, कपड़ा, प्यास, पेड़","अख़बार, मैदान, राजा, किसान",3,‘प्यास’ भाववाचक संज्ञा है; इसलिए विकल्प (3) में सभी शब्द जातिवाचक नहीं हैं।
8,निम्नलिखित में से किस विकल्प में सभी शब्द व्यक्तिवाचक संज्ञा हैं?,"सुरेश, गंगा, सोमवार","भारत, ठग, वाराणसी","बहन, भारतीय, श्याम","हिमालय, रामायण, मित्रता",1,"सुरेश, गंगा और सोमवार तीनों विशिष्ट नाम हैं; स्रोत में इन्हें व्यक्तिवाचक संज्ञा माना गया है।"
9,किस विकल्प के सभी शब्द भाववाचक संज्ञा हैं?,"जयपुर, वकालत, लड़की","रूस, मोहन, मेघदूत","गंगा, मनुष्य, सतपुड़ा","प्रेम, प्रसन्नता, मिठास",4,"प्रेम, प्रसन्नता और मिठास अमूर्त भाव/गुण का बोध कराते हैं, इसलिए तीनों भाववाचक संज्ञाएँ हैं।"
10,‘विशेषण’ से निर्मित भाववाचक संज्ञा का उदाहरण किस विकल्प में है?,गर्म,लड़ाई,बुराई,धुलाई,3,‘बुरा’ विशेषण से ‘बुराई’ भाववाचक संज्ञा बनी है। ‘लड़ाई’ और ‘धुलाई’ क्रियाओं से बनी हैं।
