No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
1,विशेषण के संबंध में असत्य कथन का चयन कीजिए -,"(अ) अनिश्चित संख्यावाचक एवं अनिश्चित परिमाणवाचक विशेषण, विशेष्य के लिंग के अनुसार परिवर्तित होते हैं।","(ब) गुणवाचक विशेषणों में सामान्यतः अकारान्त, ईकारान्त विशेषणों में वचन के अनुसार कोई विकार उत्पन्न नहीं होता है।","(स) क्रमवाचक विशेषण, विशेष्य के लिंग के अनुसार परिवर्तित होते हैं।",(द) गुणवाचक विशेषणों में सामान्यतः उकारान्त तथा ऊकारान्त विशेषणों में वचन के अनुसार विकार उत्पन्न होता है।,4,"गुणवाचक विशेषणों में सामान्यतः अकारान्त, ईकारान्त, उकारान्त तथा ऊकारान्त विशेषणों में वचन के अनुसार कोई विकार उत्पन्न नहीं होता है। यथा - सुंदर लड़का, सुंदर लड़की, मोटी महिला, मोटी महिलाएँ, दयालु लड़का, दयालु लड़के, पालतू पशु, पालतू पशुओं।"
2,कौन-सा विवरण सही नहीं है -,(अ) विशेष्य से पहले प्रयुक्त होने वाले विशेषणों को विशेष्य-विशेषण कहा जाता है।,(ब) विशेषण रहित संज्ञाओं से प्राप्त अर्थ की प्राप्ति विशेषण सहित संज्ञाओं से प्राप्त अर्थ से अपेक्षाकृत व्यापक होती है।,(स) विशेषण पद संज्ञा शब्दों की व्याप्ति अमर्यादित करते हैं।,(द) विशेषण की संज्ञा शब्दों की तुलना के आधार पर तीन अवस्थाएँ होती हैं।,3,विशेषण पद संज्ञा शब्दों की व्याप्ति मर्यादित करते हैं। 'घोड़ा' इस संज्ञा के श्रवण से सब प्रकार के घोड़ों का बोध होगा; परन्तु जब 'घोड़ा' शब्द के साथ 'काला' विशेषण जोड़ दिया गया तो इसकी व्याप्ति मर्यादित हो गई; क्योंकि 'काला घोड़ा' कहने से केवल 'काले घोड़ों' का ही बोध हुआ।
3,'निश्चित संख्यावाचक विशेषण' के कुल कितने भेद होते हैं- तथा 'गणनावाचक विशेषण' को आगे किन दो उपभेदों में विभाजित किया जाता है-,"(अ) 4 भेद; (1) क्रमवाचक, (2) आवृत्तिवाचक","(ब) 5 भेद; (1) पूर्णांकबोधक, (2) अपूर्णांकबोधक","(स) 3 भेद; (1) समुदायवाचक, (2) प्रत्येकवाचक","(द) 5 भेद; (1) क्रमवाचक, (2) समुदायवाचक",2,"निश्चित संख्यावाचक विशेषणों के 5 भेद हैं- (1) गणनावाचक, (2) क्रमवाचक, (3) आवृत्तिवाचक, (4) समुदायवाचक/समुच्चयबोधक, (5) प्रत्येकवाचक/विभागवाचक। गणनावाचक विशेषण के दो उपभेद हैं- (1) पूर्णांकबोधक, (2) अपूर्णांकबोधक।"
4,निम्नलिखित में से असंगत है -,(अ) गुणवाचक विशेषणों की तुलना के आधार पर तीन अवस्थाएँ होती हैं।,(ब) फ़ारसी का 'ईन' प्रत्यय जोड़कर भी विशेषण की उत्तरावस्था प्रदर्शित की जाती है।,(स) हिंदी में उत्तरावस्था का बोध कराने के लिए 'से' और 'में' चिह्नों का प्रयोग भी किया जाता है।,"(द) जहाँ दो विशेष्यों में से किसी एक को अच्छा या बुरा बतलाया जाता है, वहाँ विशेषण की उत्तरावस्था होती है।",2,फ़ारसी का '-ईन' प्रत्यय जोड़कर विशेषण की उत्तमावस्था प्रदर्शित की जाती है। यथा - आगरा बेहतरीन शहर है। अंकिता सब लड़कियों से कमतरीन है।
5,निम्नलिखित में से संज्ञा शब्दों से बने विशेषण कौन-से हैं-,"(अ) धार्मिक, कलंकित","(ब) धीरज, लड़ाकू","(स) भगोड़ा, सुंदरता","(द) प्राथमिक, झगड़ालू",1,"विकल्प (अ) धर्म + इक = धार्मिक (भाववाचक संज्ञा) + ई प्रत्यय से निर्मित। कलंक (भाववाचक संज्ञा) में इत प्रत्यय लगाकर बना विशेषण - कलंकित। विकल्प (ब) धीरज या धैर्य एक भाववाचक संज्ञा है, जो धीर (विशेषण) से निर्मित है। लड़ाकू - लड़ धातु में आकू प्रत्यय लगाकर बना विशेषण है। विकल्प (स) भगोड़ा क्रिया से बना है और सुंदरता भाववाचक संज्ञा है। विकल्प (द) प्राथमिक प्रथम में इक प्रत्यय से बना है और झगड़ालू झगड़ना क्रिया में आलू प्रत्यय लगाकर बना विशेषण है।"
6,विशेषण के संदर्भ में असंगत का चयन करें -,(अ) मैं पाँच-सात दिन से साहित्य सीख रहा हूँ। — निश्चित संख्यावाचक,(ब) व्युत्पत्ति के आधार पर सार्वनामिक विशेषण के दो प्रकार हैं - मूल सार्वनामिक और यौगिक सार्वनामिक।,(स) 'भूगोल' संज्ञा से 'भौगोलिक' विशेषण का निर्माण एवं 'अपेक्षा' से 'अपेक्षित' विशेषण का निर्माण होता है।,(द) एक एकड़ ज़मीन में गेहूँ की फ़सल है। — निश्चित संख्यावाचक,4,एक एकड़ ज़मीन में गेहूँ की फ़सल है। — निश्चित परिमाणवाचक। मैं पाँच-सात दिन से साहित्य सीख रहा हूँ - अनिश्चित संख्यावाचक।
7,गुणवाचक विशेषण से संबंधित वाक्य कौन-सा है-,(अ) आँखों की रोशनी के लिए हरा रंग अच्छा माना गया है।,(ब) बस थोड़े पन्ने लिखने बाकी हैं।,(स) रेल दुर्घटना में सैकड़ों व्यक्ति मारे गए।,"(द) वह व्यक्ति सामने है, जिससे तुम्हारा झगड़ा हुआ था।",1,हरा रंग - गुणवाचक (रंगबोधक)। थोड़े पन्ने - अनिश्चित संख्यावाचक विशेषण। सैकड़ों व्यक्ति - अनिश्चित संख्यावाचक विशेषण। वह व्यक्ति - सार्वनामिक विशेषण।
8,किस विकल्प के सभी शब्द गुणवाचक विशेषण हैं-,"(अ) नवीन, ज्यादा, युवा","(ब) कसैला, ठिगना, स्वस्थ","(स) नमकीन, पतला, चौगुना","(द) झूठा, जापानी, थोड़ा",2,"ज्यादा - अनिश्चित संख्यावाचक एवं अनिश्चित परिमाणवाचक विशेषण। चौगुना - आवृत्तिवाचक निश्चित संख्यावाचक विशेषण। थोड़ा - अनिश्चित परिमाणवाचक विशेषण। कसैला, नमकीन - गंधबोधक (गुणवाचक)। ठिगना, पतला - आकारबोधक गुणवाचक। स्वस्थ, युवा - दशाबोधक (गुणवाचक विशेषण)।"
9,निम्नलिखित विकल्पों में से सार्वनामिक विशेषणयुक्त वाक्य कौन-सा है-,(अ) उस व्यक्ति को बुलाइए।,(ब) वह ढेर सारा मक्खन खा गया।,(स) मेरे पास बहुत-से रुपये हैं।,(द) तीनों लड़के बाहर जा रहे हैं।,1,वह ढेर सारा मक्खन खा गया - परिमाणवाचक विशेषण। मेरे पास बहुत-से रुपये हैं - अनिश्चित संख्यावाचक विशेषण। तीनों लड़के बाहर जा रहे हैं - समुदायवाचक (निश्चित संख्यावाचक विशेषण)।
10,किस विकल्प में निश्चित परिमाणवाचक विशेषण का प्रयोग हुआ है-,(अ) थोड़ा आटा और मिलाओ।,(ब) सात मीटर सफ़ेद कपड़ा ले आओ।,(स) थोड़ा पानी पिला दीजिए।,(द) मैं प्रतिमास शिवमंदिर जाता हूँ।,2,थोड़ा आटा और मिलाओ। - अनिश्चित परिमाणवाचक विशेषण। थोड़ा पानी पिला दीजिए। - अनिश्चित परिमाणवाचक विशेषण। मैं प्रतिमास शिवमंदिर जाता हूँ। — (प्रत्येकवाचक) निश्चित संख्यावाचक विशेषण।
