No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
1,क्रिया के संदर्भ में असंगत कथन चुनिए-,"जिस मूल शब्द में विकार होने से क्रिया बनती है, उसे ‘धातु’ कहते हैं।","जिस धातु से सूचित होने वाले व्यापार का फल कर्ता से निकलकर किसी दूसरी वस्तु पर पड़ता है, उसे ‘अकर्मक धातु’ कहते हैं।",लड़का अपने को सुधार रहा है- उक्त वाक्य में ‘सकर्मक क्रिया’ का उदाहरण है।,"फरमाना, खर्चना, दागना, बतियाना एवं रिसाना - नामधातु क्रियाएँ हैं।",2,
2,क्रिया के संबंध में कौन-सा कथन सही नहीं है-,कर्म के आधार पर क्रिया के दो भेद हैं - सकर्मक और अकर्मक।,सभी प्रेरणार्थक क्रियाएँ सकर्मक होती हैं।,कारक क्रिया का विकारक है।,पूर्वकालिक क्रियाएँ मुख्य क्रिया से पहले घटित होती हैं।,3,
3,विकल्प में प्रेरणार्थक क्रिया’ का उदाहरण नहीं है-,सोहन मुकेश से पत्र लिखवाता है।,वह यह प्रकरण लिख चुका है।,राम श्याम से चित्र बनवाता है।,सुनंदा दर्जी से कपड़े सिलवाती है।,2,
4,_ क्रियार्थक: जीना एक कला है। [,"1.2और3 ""~. ~","केवल 2 एबं 3 ' {१}, .. AO","2,3३ और 4 A ee",केवल 2 एवं 4 TF PC TA Cr,1,वह खेल रहा है - अकर्मक
5,सूची (1) को सूची (11) से मिलाएँ- सूची (1): (अ) बूँद-बूँद करके घड़ा भरता है। (ब) टहलना स्वास्थ्य के लिए लाभदायक है। (स) मोनिका खाना खाकर बाज़ार जाएगी। (द) बिछड़ने पर लता के नेत्र छलछला गए। सूची (11): (1) पूर्वकालिक (2) अकर्मक (3) क्रियार्थक क्रिया (4) नामधातु,"A-2, B-3, C-1, D-4","A-2, B-3, C-4, D-1","A-2, B-1, C-3, D-4","A-3, B-2, C-1, D-4",1,
6,निम्नलिखित में से किस वाक्य में प्रेरणार्थक क्रिया का प्रयोग नहीं हुआ है- a,लड़के ने कपड़ा सिलवाया है।,रागिनी मुझसे पत्र लिखवाती है। Hr म,कारीगर घर गिरवाता है। f,"किसान ने चोर को बड़ी मार मारी। | ' ,",4,"किसान ने चोर को बड़ी मार मारी;,यह सजातीय क्रिया है।"
7,किस विकल्प में अकर्मक क्रिया का प्रयोग हुआ है-,राजा ने दान दिया।,नौकर बीमार रहा।,कमलेश पुस्तक लाया।,पण्डित कथा सुनाते हैं।,2,"7१5, | 5... ` PD 'बीमार रहा' क्रिया किसी _केर्म.की अपेक्षा नहीं करती, अतः यह अकर्मक क्रिया है!» 5 अकर्मक क्रिया - जिस धातु या,क्रिया से सूचित होने बाले व्यापार और उसका फल कर्ता पर ही पड़े उसे अकर्मक धातु तथा क्रिया रूप को अकर्मक क्रिया कहते हैं । ,=~ `... ६ ""५."
8,क्रिया के संदर्भ में असंगत कथन है-,"क्रिया विकारी पद है एवं लिंग, वचन, काल एवं वाच्य इसके विकारक हैं।",पुरुष क्रियापद का विकारक नहीं है।,कारक संज्ञापद और सर्वनाम का विकारक है।,जिस शब्द से किसी काम का होना या करना संकेतित हो उसे क्रिया कहते हैं।,2,
9,प्रयोग के आधार पर संयुक्त क्रिया का भेद नहीं है-,संयोजी क्रिया,रंजक क्रिया,प्रेरणार्थक क्रिया,मुरव्य क्रिया र,3,"जब कर्ता स्वयं कार्य न करते हुए एक अथवा दो प्रेरित कर्ताओं की सहायता के कार्य संपन्न कराता है तो प्रेरणार्थक क्रिया होती है। प्रयोग के आधार पर संयुक्त क्रिया के चार भेद-होते हैं: , ! ' - (1) मुख्य क्रिया (2) सहायक क्रिया (3) संयोजी क्रिया (4) रंजक क्रिया ' ,"
10,"कर्ता अथवा कर्म के मुख्य कार्य-व्यापार, विधान, क्रिया-कलाप को व्यक्त करने वाली क्रियाएँ कहलाती हैं-",केवल अ,"अ, द","ब, स, द",केवल ब,1,"| मुख्य क्रिया कहलाती हैं। f, जो क्रिया मुख्य अर्थ देती है उसे मुख्य क्रिया कहते हैं। यथा - उसकी आँखें भर आई ।"
11,` संयोजी क्रिया के संदर्भ में असंगत कथन है- ए (अ) मुख्य क्रिया से पृथक्‌ होकर उसे नया रूप प्रदान करने वाली क्रियाएँ संयोजी क्रियाएँ कहलाती हैं।,केवल अ,"अ, द","ब, स, द",केवल ब,2,Sek क NTA Ce मुख्य क्रिया के साथ मिलकर उसे संयुक्तं रुमे से प्रदान करने वाली क्रियाएँ संयोजी क्रियाएँ कहलाती हैं। गौण क्रिया- सहायक क्रिया का अन्य नामहै। | दाल आदि की दृष्टि से मुख्य क्रिया की सहायता करने वाली क्रियाएँ ही सहायक या गोण क्रियाएँ कही जाती
12,मुख्य क्रिया को विशिष्टता प्रदान कर उसमें विशेष छवि उत्पन्न करना किस क्रिया की विशेषता है-,सहायक क्रिया,संयोजी क्रिया,रंजक क्रिया,इनमें से कोई नहीं।,3,"रंजक से तात्पर्य है विशिष्टता प्रदान करना, रंजक क्रिया मूल क्रिया के अर्थ में विशेषता उत्पन्न कर देती है। रंजक के रूप में प्रयुक्त क्रिया अपना मूल भाव खोकर अन्य संद्ों में प्रयुक्त होती है।"
13,कृष्ण बाँसुरी बजाकर गोपियों को नचाते हैं। उक्त वाक्य में क्रिया है-,प्रेरणार्थक क्रिया,सजातीय क्रिया,पूर्वकालिक क्रिया,कृदन्त क्रिया,3,"कृष्ण बाँसुरी बजाकर (पूर्व क्रिया) गोपियों को नचाते हैं। (मुख्य क्रिया) क्रिया से पहले घटित होने बाली क्रिया पूर्वकालिक क्रिया कहलाती है। जब किसी वाक्य में दो क्रियाएँ प्रयुक्त हुई हों तथा उनमें से एक क्रिया, दूसरी क्रिया से पहले सम्पन्न हुई हो तो पहले सम्पन्न होने वाली क्रिया पूर्वकालिक क्रिया कहलाती है। इन क्रियाओं के साथ 'कर' या 'करके' जुड़ा रहता है। $ ' 1 ST यथा - राम खेलकर चला गया। | ~ AAR"
14,बच्चे खेल खेलते हैं। वाक्य में प्रयुक्त क्रिया है-,पूर्वकालिक क्रिया,सजातीय क्रिया,क्रियार्थक क्रिया,कृदन्त क्रिया,2,"_ ` : ` 4 - ऐसी क्रियाएँ जहाँ कर्म तथा क्रिया दोनों एक ही धातु से बनकर प्रयुक्त हो रहे हों |. कुछ अकर्मक,एवँ सकर्मक धातुओं के साथ उसी धातु से निर्मित भाववाचक संज्ञा कर्म के समान प्रयुक्त होती है। इस कर्म को सजातीय कर्म एवं क्रियी को सजातीय क्रिया कहते हैं।"
