No,Question,Option 1,Option 2,Option 3,Option 4,Correct,Explanation
1,सर्वनाम के संबंध में असंगत है -,'आप' सर्वनाम का पुरुषवाचक एवं निजवाचक में प्रयोग पूर्णतः भिन्न है।,सर्वनाम शब्दों का संबोधन कारक में रूप नहीं चलता है।,'कौन' प्रश्नवाचक सर्वनाम शब्द का प्रयोग सजीव संज्ञा हेतु होता है।,"यदि एक ही वाक्य में कर्ता की जगह उत्तम, मध्यम तथा अन्य पुरुष तीनों का प्रयोग किया जाए तो पहले मध्यम पुरुष, फिर उत्तम पुरुष और अंत में अन्य पुरुष का प्रयोग शुद्ध माना जाता है।",4,"यदि एक ही वाक्य में कर्ता की जगह उत्तम, मध्यम तथा अन्य पुरुष तीनों का प्रयोग किया जाए तो पहले मध्यम पुरुष, फिर अन्य पुरुष और अंत में उत्तम पुरुष का प्रयोग शुद्ध माना जाता है।"
2,किस वाक्य में संबंधवाचक सर्वनाम का प्रयोग नहीं हुआ है-,"जैसा करोगे, वैसा भरोगे।","उतने ही पग फैलाएँ, जितनी लंबी सौर सुलभ हो।",जो जा रहा है वह मेरा मित्र है।,तुम अपनी पुस्तक पढ़ो।,4,विकल्प (द) में 'तुम' व 'अपनी' मध्यम पुरुषवाचक सर्वनाम हैं।
3,किस विकल्प में निजवाचक सर्वनाम का प्रयोग हुआ है-,आप लोग बहुत बड़े विद्वान् हैं।,बच्चा अपने आप चलना सीखेगा।,आप लोगों को आज फ़िल्म दिखाऊँगा।,आप पढ़कर नहीं आए।,2,बच्चा अपने आप चलना सीखेगा। यहाँ निजवाचक सर्वनाम का प्रयोग हुआ है।
4,निम्नलिखित में से किस वाक्य में 'संबंधवाचक' सर्वनाम का प्रयोग नहीं हुआ है-,मेरी वह पुस्तक दो जिसमें व्याकरण है।,"जितना गुड़ डालोगे, उतना मीठा होगा।",जो जागत है सो पावत है।,मैं स्वयं चला जाऊँगा।,4,विकल्प (4) में निजवाचक सर्वनाम का प्रयोग हुआ है।
5,निम्नलिखित वाक्यों में से किस एक वाक्य में संबंधवाचक सर्वनाम का प्रयोग किया गया है-,मेरी वह घड़ी खो गई जो मुझे उपहार में मिली थी।,उसके माता-पिता अत्यंत निर्धन हैं।,यह पुस्तक किस विद्यार्थी की है?,"आप वहाँ जाइए, मैं अभी यहीं हूँ।",1,"'उसके' अन्यपुरुषवाचक सर्वनाम, 'किस' प्रश्नवाचक सर्वनाम तथा 'आप' मध्यमपुरुषवाचक सर्वनाम है; अतः संबंधवाचक सर्वनाम विकल्प (1) में है।"
6,व्याकरण की दृष्टि से संगत है -,सर्वनामों का संबंध कारकीय रूप लिंग के अनुसार नहीं बदलता है।,"यदि क्रिया शब्दों के साथ कारक चिह्न का प्रयोग किया जाए, तो ऐसे क्रिया पद वाक्य में सर्वनाम का काम करते हैं।",हिंदी भाषा में मूल सर्वनामों की संख्या आठ हैं।,कल्पित अथवा वास्तविक जगत् के उपादानों को जानने के लिए निर्मित शब्दों के नाम को संज्ञा कहा जाता है।,4,"सर्वनाम शब्दों में वचन एवं कारक के अनुसार विकार होता है। सर्वनाम पदों का वचन तथा कारक के आधार पर पद-परिचय दिया जाता है। सर्वनाम पदों का लिंग के अनुसार रूपान्तरण नहीं होता है, संबंध कारक के सर्वनामों को छोड़कर। हिंदी में मूल सर्वनाम 11 हैं।"
7,सही विकल्प चुनिए -,जब 'आप' शब्द क्रिया में संलग्न हो तो वहाँ मध्यम पुरुष होता है।,"पुरुषवाचक सर्वनाम में 'हम' उत्तमपुरुष, कर्तृकारक में प्रयुक्त नहीं होता है।",'आप' सर्वनाम का पुरुषवाचक एवं निजवाचक में प्रयोग समान रूप से होता है।,पुरुषवाचक सर्वनाम में उत्तम और मध्यम पुरुष ही प्रधान हैं; क्योंकि इनका अर्थ अनिश्चित रहता है।,1,"'आप' शब्द यदि कोई क्रिया करे या उसकी विशेषता बताई जाए, तो यह मध्यम पुरुषवाचक सर्वनाम माना जाता है।"
8,किस वाक्य में पुरुषवाचक सर्वनाम नहीं है-,मैंने आज व्याकरण की पुस्तक पढ़ी।,यह हमारा आदेश है।,उसके लिए मैं कुछ भी करने को तैयार हूँ।,यह विलायती चूहा है।,4,'यह विलायती चूहा है' में 'यह' निश्चयवाचक सर्वनाम है।
9,किस वाक्य में संबंधवाचक सर्वनाम का प्रयोग नहीं हुआ है-,जिसने परिश्रम किया वह सफल हो गया।,वह स्वयं को सुधार रहा है।,यह वही लड़का है जो कल दौड़ में प्रथम आया था।,"जेते पाँव पसारिये, जेती लंबी सौर।",2,'वह स्वयं को सुधार रहा है' में निजवाचक सर्वनाम का प्रयोग हुआ है।
10,निम्नलिखित में से कौन-सा वाक्य निजवाचक सर्वनाम का उदाहरण नहीं है-,आपने तो मेरी बात का कुछ-का-कुछ अर्थ निकाल लिया।,वह अपने को सुधार रहा है।,मैं आप वहाँ से आया हूँ।,अपने से बड़ों का आदर करना चाहिए।,1,'आपने तो मेरी बात का कुछ-का-कुछ अर्थ निकाल लिया' में 'आप' मध्यम पुरुषवाचक सर्वनाम है।
